Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Bennedict Mathurin,IND,IND vs. NYK,12/30/2023,W,26,20,7,10,70.0,3,5,60.0,3,3,100,0,0,0,0,0,0,2,0,11,18.0
Jalen Brunson,NYK,NYK @ IND,12/30/2023,L,41,28,9,22,40.9,4,8,50.0,6,9,66.7,0,1,1,6,0,1,4,3,-17,37.2
Josh Hart,NYK,NYK @ IND,12/30/2023,L,38,10,4,9,44.4,1,2,50.0,1,2,50.0,3,7,10,1,1,0,0,3,-19,26.5
Evan Fournier,NYK,NYK @ IND,12/30/2023,L,17,10,3,10,30.0,2,8,25.0,2,2,100,0,2,2,2,3,0,1,0,-13,23.4
Taj Gibson,NYK,NYK @ IND,12/30/2023,L,14,2,1,3,33.3,0,0,-,0,0,-,2,0,2,1,0,0,1,4,-13,4.9
Tyrese Haliburton,IND,IND vs. NYK,12/30/2023,W,36,22,8,17,47.1,2,10,20.0,4,4,100,1,4,5,23,2,1,2,0,19,69.5
Ben Sheppard,IND,IND vs. NYK,12/30/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Jarace Walker,IND,IND vs. NYK,12/30/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Dmytro Skapintsev,NYK,NYK @ IND,12/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3,0.0
Jacob Toppin,NYK,NYK @ IND,12/30/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,3,1.5
Isaiah Jackson,IND,IND vs. NYK,12/30/2023,W,9,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,1,1,2,-2,5.2
Miles McBride,NYK,NYK @ IND,12/30/2023,L,18,5,2,3,66.7,1,2,50.0,0,0,-,0,0,0,1,0,0,0,3,7,6.5
Jalen Smith,IND,IND vs. NYK,12/30/2023,W,21,9,3,5,60.0,1,2,50.0,2,4,50.0,0,4,4,2,0,2,1,5,3,21.8
Aaron Nesmith,IND,IND vs. NYK,12/30/2023,W,31,25,8,13,61.5,7,11,63.6,2,2,100,0,1,1,2,1,0,2,2,10,30.2
Obi Toppin,IND,IND vs. NYK,12/30/2023,W,20,9,4,6,66.7,1,1,100,0,1,0.0,2,6,8,2,0,3,0,4,2,30.6
Charlie Brown Jr.,NYK,NYK @ IND,12/30/2023,L,1,3,1,2,50.0,1,1,100,0,0,-,0,0,0,0,0,0,0,0,3,3.0
Jordan Nwora,IND,IND vs. NYK,12/30/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Malik Monk,SAC,SAC @ ATL,12/29/2023,W,31,15,6,10,60.0,2,5,40.0,1,1,100,0,4,4,8,1,1,5,3,18,32.8
Saddiq Bey,ATL,ATL vs. SAC,12/29/2023,L,32,15,4,14,28.6,3,8,37.5,4,4,100,5,2,7,4,1,0,1,2,5,31.4
Garrison Mathews,ATL,ATL vs. SAC,12/29/2023,L,8,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,1,0,0,1,7,7.2
Kevin Huerter,SAC,SAC @ ATL,12/29/2023,W,10,7,3,6,50.0,1,3,33.3,0,0,-,0,3,3,1,0,0,0,0,-5,12.1
Dejounte Murray,ATL,ATL vs. SAC,12/29/2023,L,37,18,7,20,35.0,4,8,50.0,0,0,-,1,5,6,3,1,0,3,3,5,29.7
Domantas Sabonis,SAC,SAC @ ATL,12/29/2023,W,35,25,12,17,70.6,0,0,-,1,4,25.0,2,8,10,7,0,0,1,2,-4,46.5
Bogdan Bogdanovic,ATL,ATL vs. SAC,12/29/2023,L,27,12,4,14,28.6,2,10,20.0,2,2,100,2,2,4,5,0,0,1,1,-14,23.3
Clint Capela,ATL,ATL vs. SAC,12/29/2023,L,28,12,5,7,71.4,0,0,-,2,4,50.0,6,6,12,3,1,2,2,1,2,37.9
Anthony Black,ORL,ORL vs. NYK,12/29/2023,W,29,4,2,2,100,0,0,-,0,0,-,2,4,6,5,2,0,1,4,0,23.7
Paolo Banchero,ORL,ORL vs. NYK,12/29/2023,W,36,29,9,19,47.4,2,6,33.3,9,12,75.0,1,9,10,4,1,1,2,3,4,51.0
Jalen Suggs,ORL,ORL vs. NYK,12/29/2023,W,31,21,8,15,53.3,2,7,28.6,3,6,50.0,0,2,2,6,0,1,3,4,9,32.4
Goga Bitadze,ORL,ORL vs. NYK,12/29/2023,W,30,13,4,8,50.0,0,0,-,5,8,62.5,3,4,7,0,1,2,2,3,16,28.4
Donte DiVincenzo,NYK,NYK @ ORL,12/29/2023,L,20,2,1,7,14.3,0,5,0.0,0,0,-,0,1,1,2,3,1,1,4,-12,17.2
Jalen Brunson,NYK,NYK @ ORL,12/29/2023,L,34,20,4,15,26.7,0,4,0.0,12,12,100,0,7,7,8,0,1,3,2,-10,40.4
Isaiah Hartenstein,NYK,NYK @ ORL,12/29/2023,L,25,7,2,4,50.0,0,0,-,3,3,100,1,2,3,3,3,0,2,4,-18,22.1
Julius Randle,NYK,NYK @ ORL,12/29/2023,L,36,38,16,25,64.0,0,4,0.0,6,8,75.0,3,9,12,6,0,1,5,5,0,59.4
Santi Aldama,MEM,MEM @ LAC,12/29/2023,L,22,12,5,7,71.4,2,3,66.7,0,0,-,1,4,5,1,1,0,0,1,0,22.5
Harrison Barnes,SAC,SAC @ ATL,12/29/2023,W,12,2,0,2,0.0,0,2,0.0,2,2,100,0,0,0,0,0,0,0,1,-4,2.0
Patty Mills,ATL,ATL vs. SAC,12/29/2023,L,11,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-11,3.0
Alex Len,SAC,SAC @ ATL,12/29/2023,W,13,2,1,2,50.0,0,0,-,0,0,-,1,3,4,4,0,0,0,0,11,12.8
Trey Lyles,SAC,SAC @ ATL,12/29/2023,W,25,19,7,12,58.3,4,9,44.4,1,1,100,0,6,6,1,0,0,2,3,4,25.7
Trae Young,ATL,ATL vs. SAC,12/29/2023,L,38,24,7,18,38.9,3,10,30.0,7,7,100,1,2,3,9,4,0,4,4,-11,49.1
Onyeka Okongwu,ATL,ATL vs. SAC,12/29/2023,L,23,7,3,6,50.0,0,0,-,1,2,50.0,1,2,3,1,1,1,0,2,-11,18.1
Chris Duarte,SAC,SAC @ ATL,12/29/2023,W,25,5,2,5,40.0,1,3,33.3,0,0,-,0,0,0,4,1,0,1,1,10,13.0
Jalen Johnson,ATL,ATL vs. SAC,12/29/2023,L,35,16,5,12,41.7,1,4,25.0,5,6,83.3,2,13,15,4,0,1,4,2,-7,39.0
Davion Mitchell,SAC,SAC @ ATL,12/29/2023,W,13,2,1,3,33.3,0,1,0.0,0,0,-,1,0,1,2,0,0,0,2,-1,6.2
Keegan Murray,SAC,SAC @ ATL,12/29/2023,W,36,9,4,12,33.3,1,6,16.7,0,0,-,0,5,5,0,2,2,0,5,-3,27.0
De'Aaron Fox,SAC,SAC @ ATL,12/29/2023,W,41,31,10,20,50.0,8,16,50.0,3,7,42.9,1,4,5,8,5,0,3,3,9,61.0
Caris LeVert,CLE,CLE vs. MIL,12/29/2023,L,28,6,3,14,21.4,0,6,0.0,0,0,-,0,1,1,4,1,0,2,2,-3,14.2
Kobe Brown,LAC,LAC vs. MEM,12/29/2023,W,15,7,3,5,60.0,1,3,33.3,0,0,-,0,4,4,0,0,0,0,2,1,11.8
Vince Williams Jr.,MEM,MEM @ LAC,12/29/2023,L,22,5,1,6,16.7,1,4,25.0,2,3,66.7,0,1,1,5,0,1,1,3,0,15.7
David Roddy,MEM,MEM @ LAC,12/29/2023,L,22,4,1,3,33.3,0,1,0.0,2,3,66.7,0,2,2,1,0,0,1,1,7,6.9
Ziaire Williams,MEM,MEM @ LAC,12/29/2023,L,6,0,0,3,0.0,0,2,0.0,0,0,-,0,2,2,1,0,0,0,1,-3,3.9
Ja Morant,MEM,MEM @ LAC,12/29/2023,L,37,19,7,19,36.8,0,7,0.0,5,6,83.3,0,6,6,10,0,0,3,4,-19,38.2
Daniel Theis,LAC,LAC vs. MEM,12/29/2023,W,13,5,2,3,66.7,0,1,0.0,1,2,50.0,1,1,2,0,0,2,1,3,-1,12.4
Norman Powell,LAC,LAC vs. MEM,12/29/2023,W,25,13,5,12,41.7,1,4,25.0,2,2,100,0,6,6,1,0,0,1,2,-7,20.7
Marcus Smart,MEM,MEM @ LAC,12/29/2023,L,32,22,7,14,50.0,4,11,36.4,4,4,100,0,2,2,2,3,0,2,0,-5,34.4
Paul George,LAC,LAC vs. MEM,12/29/2023,W,36,23,8,21,38.1,2,8,25.0,5,6,83.3,1,6,7,3,1,0,4,6,2,34.9
Russell Westbrook,LAC,LAC vs. MEM,12/29/2023,W,20,14,6,9,66.7,2,4,50.0,0,0,-,1,5,6,6,0,0,4,1,2,26.2
Taj Gibson,NYK,NYK @ ORL,12/29/2023,L,15,2,1,1,100,0,0,-,0,0,-,0,4,4,0,0,1,0,4,7,9.8
Josh Hart,NYK,NYK @ ORL,12/29/2023,L,31,5,2,4,50.0,1,2,50.0,0,0,-,0,4,4,0,0,0,2,2,6,7.8
Reggie Jackson,DEN,DEN vs. OKC,12/29/2023,L,15,8,3,10,30.0,2,5,40.0,0,0,-,0,2,2,3,1,0,0,0,1,17.9
DeAndre Jordan,DEN,DEN vs. OKC,12/29/2023,L,13,6,3,4,75.0,0,0,-,0,0,-,3,5,8,1,1,0,1,0,-1,19.1
Peyton Watson,DEN,DEN vs. OKC,12/29/2023,L,32,14,6,12,50.0,1,6,16.7,1,2,50.0,0,2,2,2,1,2,1,4,-7,27.4
Julian Strawther,DEN,DEN vs. OKC,12/29/2023,L,12,10,3,7,42.9,1,4,25.0,3,4,75.0,0,1,1,0,0,0,3,3,-15,8.2
Jaylin Williams,OKC,OKC @ DEN,12/29/2023,W,17,0,0,2,0.0,0,2,0.0,0,0,-,0,8,8,4,1,1,0,3,14,21.6
Olivier Sarr,OKC,OKC @ DEN,12/29/2023,W,3,2,0,0,-,0,0,-,2,2,100,0,1,1,0,0,0,0,0,3,3.2
Aaron Wiggins,OKC,OKC @ DEN,12/29/2023,W,12,7,3,5,60.0,1,1,100,0,0,-,2,3,5,0,0,0,1,2,14,12.0
Josh Giddey,OKC,OKC @ DEN,12/29/2023,W,21,12,6,10,60.0,0,1,0.0,0,0,-,2,6,8,4,1,0,3,1,16,27.6
Lindy Waters III,OKC,OKC @ DEN,12/29/2023,W,3,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,0,0,3,4.2
Braxton Key,DEN,DEN vs. OKC,12/29/2023,L,3,3,1,2,50.0,0,0,-,1,1,100,0,0,0,0,0,0,0,0,-6,3.0
Isaiah Joe,OKC,OKC @ DEN,12/29/2023,W,13,5,2,6,33.3,1,5,20.0,0,0,-,0,1,1,1,0,0,0,0,11,7.7
Zeke Nnaji,DEN,DEN vs. OKC,12/29/2023,L,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-6,0.0
Luguentz Dort,OKC,OKC @ DEN,12/29/2023,W,32,4,2,6,33.3,0,3,0.0,0,0,-,1,3,4,1,3,1,1,3,24,21.3
Jalen Pickett,DEN,DEN vs. OKC,12/29/2023,L,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-6,0.0
Michael Porter Jr.,DEN,DEN vs. OKC,12/29/2023,L,31,12,4,12,33.3,2,8,25.0,2,2,100,0,6,6,1,0,1,0,1,-10,23.7
Shai Gilgeous-Alexander,OKC,OKC @ DEN,12/29/2023,W,33,40,14,20,70.0,2,3,66.7,10,10,100,0,4,4,3,2,1,1,3,21,57.3
Jamal Murray,DEN,DEN vs. OKC,12/29/2023,L,36,9,4,15,26.7,1,6,16.7,0,1,0.0,0,3,3,11,1,1,2,1,-20,33.1
Nikola Jokic,DEN,DEN vs. OKC,12/29/2023,L,32,19,9,10,90.0,1,1,100,0,0,-,2,8,10,7,1,1,7,2,-19,40.5
Kentavious Caldwell-Pope,DEN,DEN vs. OKC,12/29/2023,L,27,8,3,5,60.0,2,3,66.7,0,1,0.0,0,0,0,2,1,0,1,3,-16,13.0
Justin Holiday,DEN,DEN vs. OKC,12/29/2023,L,16,0,0,3,0.0,0,2,0.0,0,0,-,0,1,1,2,0,0,0,1,-19,4.2
Cam Thomas,BKN,BKN @ WAS,12/29/2023,L,24,15,6,15,40.0,0,1,0.0,3,6,50.0,0,1,1,3,0,0,1,0,-14,19.7
Corey Kispert,WAS,WAS vs. BKN,12/29/2023,W,17,15,6,10,60.0,3,7,42.9,0,0,-,0,0,0,0,0,0,0,2,15,15.0
Day'Ron Sharpe,BKN,BKN @ WAS,12/29/2023,L,18,10,5,7,71.4,0,0,-,0,0,-,5,4,9,3,0,0,2,3,-10,23.3
Deni Avdija,WAS,WAS vs. BKN,12/29/2023,W,34,21,9,18,50.0,3,5,60.0,0,4,0.0,2,11,13,6,1,1,1,2,13,50.6
Cameron Johnson,BKN,BKN @ WAS,12/29/2023,L,33,16,6,11,54.5,3,5,60.0,1,1,100,1,6,7,3,0,0,1,1,6,27.9
Landry Shamet,WAS,WAS vs. BKN,12/29/2023,W,18,8,3,7,42.9,1,4,25.0,1,1,100,0,1,1,2,1,0,0,0,8,15.2
Dennis Smith Jr.,BKN,BKN @ WAS,12/29/2023,L,20,5,2,6,33.3,0,1,0.0,1,2,50.0,0,2,2,3,2,0,0,3,-21,17.9
Dorian Finney-Smith,BKN,BKN @ WAS,12/29/2023,L,33,4,2,8,25.0,0,3,0.0,0,0,-,5,2,7,1,1,0,0,2,-11,16.9
Delon Wright,WAS,WAS vs. BKN,12/29/2023,W,17,4,2,3,66.7,0,1,0.0,0,0,-,1,2,3,2,2,1,0,0,18,19.6
Mike Muscala,WAS,WAS vs. BKN,12/29/2023,W,31,11,4,9,44.4,3,7,42.9,0,0,-,0,3,3,3,0,2,0,3,21,25.1
Bilal Coulibaly,WAS,WAS vs. BKN,12/29/2023,W,20,4,2,3,66.7,0,0,-,0,0,-,2,4,6,2,0,0,1,3,7,13.2
Jordan Poole,WAS,WAS vs. BKN,12/29/2023,W,25,5,2,6,33.3,1,4,25.0,0,0,-,0,0,0,5,0,0,1,4,-16,11.5
Daniel Gafford,WAS,WAS vs. BKN,12/29/2023,W,17,4,1,4,25.0,0,0,-,2,2,100,1,4,5,0,1,0,1,4,-15,12.0
Nic Claxton,BKN,BKN @ WAS,12/29/2023,L,30,11,4,10,40.0,0,0,-,3,5,60.0,4,8,12,2,0,3,1,0,7,36.4
Mikal Bridges,BKN,BKN @ WAS,12/29/2023,L,36,19,6,14,42.9,2,6,33.3,5,7,71.4,0,5,5,1,1,1,2,2,11,30.5
Kyle Kuzma,WAS,WAS vs. BKN,12/29/2023,W,31,26,11,22,50.0,4,10,40.0,0,0,-,1,7,8,2,0,1,2,1,-9,39.6
Royce O'Neale,BKN,BKN @ WAS,12/29/2023,L,18,7,3,4,75.0,1,2,50.0,0,0,-,1,2,3,2,0,0,2,0,-10,11.6
Tyus Jones,WAS,WAS vs. BKN,12/29/2023,W,31,12,6,9,66.7,0,0,-,0,0,-,1,3,4,6,0,0,0,0,-12,25.8
Spencer Dinwiddie,BKN,BKN @ WAS,12/29/2023,L,27,17,5,16,31.3,3,10,30.0,4,6,66.7,2,6,8,6,1,0,1,2,12,37.6
Tari Eason,HOU,HOU vs. PHI,12/29/2023,L,27,10,5,13,38.5,0,2,0.0,0,0,-,5,6,11,2,3,2,2,3,-8,39.2
Jae'Sean Tate,HOU,HOU vs. PHI,12/29/2023,L,35,4,2,4,50.0,0,1,0.0,0,0,-,1,4,5,2,0,0,0,3,4,13.0
De'Anthony Melton,PHI,PHI @ HOU,12/29/2023,W,36,15,5,12,41.7,2,7,28.6,3,4,75.0,0,3,3,2,1,0,2,1,3,22.6
Aaron Holiday,HOU,HOU vs. PHI,12/29/2023,L,15,4,2,6,33.3,0,2,0.0,0,0,-,1,1,2,3,2,0,3,2,-5,13.9
Danuel House Jr.,PHI,PHI @ HOU,12/29/2023,W,12,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,1,5,2.4
Fred VanVleet,HOU,HOU vs. PHI,12/29/2023,L,43,33,9,16,56.3,8,12,66.7,7,8,87.5,0,3,3,10,1,1,5,3,-3,52.6
Robert Covington,PHI,PHI @ HOU,12/29/2023,W,16,7,3,5,60.0,0,1,0.0,1,1,100,2,2,4,0,3,0,0,4,3,20.8
Marcus Morris Sr.,PHI,PHI @ HOU,12/29/2023,W,27,14,4,8,50.0,2,5,40.0,4,5,80.0,1,4,5,1,1,1,1,5,10,26.5
Patrick Beverley,PHI,PHI @ HOU,12/29/2023,W,20,9,3,4,75.0,1,1,100,2,2,100,2,1,3,3,0,0,0,1,7,17.1
Jeff Green,HOU,HOU vs. PHI,12/29/2023,L,33,10,5,11,45.5,0,2,0.0,0,1,0.0,2,2,4,0,1,1,0,2,-7,20.8
Jock Landale,HOU,HOU vs. PHI,12/29/2023,L,8,6,2,5,40.0,0,0,-,2,2,100,1,0,1,0,0,1,0,4,-6,10.2
Amen Thompson,HOU,HOU vs. PHI,12/29/2023,L,9,1,0,1,0.0,0,0,-,1,2,50.0,1,2,3,1,0,0,0,1,0,6.1
Vasilije Micic,OKC,OKC @ DEN,12/29/2023,W,14,2,1,4,25.0,0,3,0.0,0,0,-,0,1,1,2,0,1,0,2,4,9.2
Kenrich Williams,OKC,OKC @ DEN,12/29/2023,W,15,5,2,7,28.6,1,4,25.0,0,0,-,1,1,2,0,1,0,0,2,-4,10.4
Desmond Bane,MEM,MEM @ LAC,12/29/2023,L,37,18,7,11,63.6,2,5,40.0,2,2,100,0,7,7,5,2,0,2,3,-6,37.9
Xavier Tillman,MEM,MEM @ LAC,12/29/2023,L,17,2,1,5,20.0,0,1,0.0,0,0,-,2,2,4,0,1,1,1,3,-14,11.8
Terance Mann,LAC,LAC vs. MEM,12/29/2023,W,23,11,3,10,30.0,0,6,0.0,5,6,83.3,1,2,3,2,1,0,0,1,10,20.6
Amir Coffey,LAC,LAC vs. MEM,12/29/2023,W,31,13,5,6,83.3,3,4,75.0,0,0,-,1,1,2,2,1,0,0,0,23,21.4
Jaren Jackson Jr.,MEM,MEM @ LAC,12/29/2023,L,37,22,8,17,47.1,4,6,66.7,2,2,100,0,2,2,4,2,2,1,5,-11,41.4
Ivica Zubac,LAC,LAC vs. MEM,12/29/2023,W,33,15,7,8,87.5,0,0,-,1,1,100,6,14,20,1,0,1,2,3,9,41.5
Bismack Biyombo,MEM,MEM @ LAC,12/29/2023,L,8,2,1,2,50.0,0,0,-,0,0,-,0,2,2,0,1,0,1,1,-4,6.4
James Harden,LAC,LAC vs. MEM,12/29/2023,W,44,16,4,13,30.8,2,9,22.2,6,8,75.0,0,4,4,13,0,3,5,1,16,44.3
Malaki Branham,SAS,SAS @ POR,12/29/2023,L,29,11,5,12,41.7,1,3,33.3,0,0,-,3,3,6,3,1,0,3,1,-24,22.7
Ibou Badji,POR,POR vs. SAS,12/29/2023,W,10,2,0,0,-,0,0,-,2,2,100,1,1,2,1,0,2,0,3,-10,11.9
Sandro Mamukelashvili,SAS,SAS @ POR,12/29/2023,L,8,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,2,0,0,0,1,8,6.2
Keldon Johnson,SAS,SAS @ POR,12/29/2023,L,32,29,9,18,50.0,3,8,37.5,8,11,72.7,2,5,7,7,1,0,1,4,6,49.9
Malcolm Brogdon,POR,POR vs. SAS,12/29/2023,W,37,27,9,18,50.0,5,7,71.4,4,4,100,0,1,1,7,1,0,1,2,16,40.7
Cedi Osman,SAS,SAS @ POR,12/29/2023,L,18,4,2,4,50.0,0,1,0.0,0,0,-,0,4,4,2,0,0,0,1,5,11.8
Doug McDermott,SAS,SAS @ POR,12/29/2023,L,23,18,6,9,66.7,6,8,75.0,0,0,-,0,1,1,1,0,0,2,1,12,18.7
Jerami Grant,POR,POR vs. SAS,12/29/2023,W,39,27,9,17,52.9,4,5,80.0,5,6,83.3,0,6,6,4,0,0,4,2,6,36.2
Tre Jones,SAS,SAS @ POR,12/29/2023,L,27,14,7,9,77.8,0,0,-,0,0,-,3,5,8,5,0,0,3,2,14,28.1
Toumani Camara,POR,POR vs. SAS,12/29/2023,W,36,13,6,12,50.0,1,3,33.3,0,0,-,4,7,11,2,3,0,3,1,9,35.2
Dominick Barlow,SAS,SAS @ POR,12/29/2023,L,14,2,1,6,16.7,0,1,0.0,0,0,-,1,1,2,0,1,0,0,2,-9,7.4
Jabari Walker,POR,POR vs. SAS,12/29/2023,W,30,25,7,11,63.6,1,2,50.0,10,13,76.9,6,3,9,1,1,1,1,4,12,42.3
Jeremy Sochan,SAS,SAS @ POR,12/29/2023,L,29,2,0,3,0.0,0,0,-,2,2,100,1,3,4,4,1,0,3,2,-15,12.8
Scoot Henderson,POR,POR vs. SAS,12/29/2023,W,37,22,9,21,42.9,3,5,60.0,1,2,50.0,4,3,7,11,1,1,4,5,-2,48.9
Julian Champagnie,SAS,SAS @ POR,12/29/2023,L,12,7,1,5,20.0,1,4,25.0,4,5,80.0,2,1,3,0,1,1,1,1,-8,15.6
Skylar Mays,POR,POR vs. SAS,12/29/2023,W,20,11,5,10,50.0,1,1,100,0,0,-,1,1,2,2,1,0,0,0,-9,19.4
Devin Vassell,SAS,SAS @ POR,12/29/2023,L,31,22,8,16,50.0,3,6,50.0,3,4,75.0,0,3,3,5,4,1,0,1,-6,48.1
Matisse Thybulle,POR,POR vs. SAS,12/29/2023,W,27,7,3,6,50.0,1,4,25.0,0,0,-,0,1,1,0,1,2,1,1,10,16.2
Moses Brown,POR,POR vs. SAS,12/29/2023,W,4,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,0,0,1,-2,4.8
Zach Collins,SAS,SAS @ POR,12/29/2023,L,18,17,8,10,80.0,0,1,0.0,1,3,33.3,1,2,3,2,0,1,1,3,-13,25.6
Grayson Allen,PHX,PHX vs. CHA,12/29/2023,W,33,16,6,8,75.0,2,4,50.0,2,2,100,1,3,4,3,0,1,1,2,15,27.3
Bradley Beal,PHX,PHX vs. CHA,12/29/2023,W,30,6,3,8,37.5,0,2,0.0,0,0,-,0,3,3,7,0,1,2,2,-1,21.1
Jusuf Nurkic,PHX,PHX vs. CHA,12/29/2023,W,28,24,10,13,76.9,0,1,0.0,4,4,100,3,12,15,1,0,2,3,1,9,46.5
Saben Lee,PHX,PHX vs. CHA,12/29/2023,W,14,1,0,1,0.0,0,0,-,1,2,50.0,0,0,0,3,1,0,0,1,11,8.5
Brandon Miller,CHA,CHA @ PHX,12/29/2023,L,31,20,7,16,43.8,6,10,60.0,0,0,-,1,0,1,3,1,1,0,4,-15,31.7
Nick Smith Jr.,CHA,CHA @ PHX,12/29/2023,L,13,10,4,7,57.1,2,4,50.0,0,0,-,1,1,2,1,0,0,1,1,-1,12.9
Cody Martin,CHA,CHA @ PHX,12/29/2023,L,27,13,5,10,50.0,3,4,75.0,0,0,-,3,1,4,1,2,1,1,1,-10,27.3
Miles Bridges,CHA,CHA @ PHX,12/29/2023,L,37,11,4,16,25.0,1,7,14.3,2,2,100,0,7,7,6,1,0,3,2,0,28.4
Eric Gordon,PHX,PHX vs. CHA,12/29/2023,W,33,21,7,12,58.3,7,12,58.3,0,0,-,0,2,2,1,0,1,4,1,5,23.9
Kevin Durant,PHX,PHX vs. CHA,12/29/2023,W,39,21,8,11,72.7,3,3,100,2,2,100,1,3,4,11,1,3,1,2,10,53.3
Bryce McGowens,CHA,CHA @ PHX,12/29/2023,L,21,4,2,4,50.0,0,1,0.0,0,0,-,0,1,1,3,0,0,0,1,-2,9.7
Jordan Goodwin,PHX,PHX vs. CHA,12/29/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Nick Richards,CHA,CHA @ PHX,12/29/2023,L,31,6,3,4,75.0,0,0,-,0,0,-,1,1,2,0,0,0,0,4,-21,8.4
P.J. Washington,CHA,CHA @ PHX,12/29/2023,L,28,13,5,12,41.7,3,8,37.5,0,0,-,1,3,4,4,0,1,1,3,-7,25.8
Chimezie Metu,PHX,PHX vs. CHA,12/29/2023,W,19,9,2,3,66.7,1,1,100,4,4,100,1,6,7,1,1,0,0,0,5,21.9
Udoka Azubuike,PHX,PHX vs. CHA,12/29/2023,W,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,2,1,1,3,5.0
Terry Rozier,CHA,CHA @ PHX,12/29/2023,L,39,42,14,22,63.6,8,12,66.7,6,6,100,1,3,4,8,1,0,0,0,-1,61.8
Devin Booker,PHX,PHX vs. CHA,12/29/2023,W,37,35,10,18,55.6,5,7,71.4,10,10,100,0,4,4,7,0,1,2,4,11,51.3
Ish Smith,CHA,CHA @ PHX,12/29/2023,L,13,0,0,1,0.0,0,0,-,0,0,-,0,1,1,6,0,0,0,1,-13,10.2
Cason Wallace,OKC,OKC @ DEN,12/29/2023,W,18,4,2,5,40.0,0,2,0.0,0,0,-,0,3,3,2,0,1,0,1,-2,13.6
Christian Braun,DEN,DEN vs. OKC,12/29/2023,L,17,4,0,3,0.0,0,2,0.0,4,4,100,0,3,3,1,0,0,1,1,-6,8.1
Jalen Williams,OKC,OKC @ DEN,12/29/2023,W,31,11,4,10,40.0,2,5,40.0,1,2,50.0,1,6,7,9,2,1,3,2,17,38.9
Chet Holmgren,OKC,OKC @ DEN,12/29/2023,W,28,24,9,14,64.3,4,4,100,2,2,100,3,3,6,3,0,2,2,1,9,39.7
Alperen Sengun,HOU,HOU vs. PHI,12/29/2023,L,34,28,12,16,75.0,1,2,50.0,3,4,75.0,3,4,7,8,1,1,5,6,12,49.4
Jalen Green,HOU,HOU vs. PHI,12/29/2023,L,36,31,12,19,63.2,5,9,55.6,2,4,50.0,0,6,6,4,0,0,1,0,-7,43.2
Damian Lillard,MIL,MIL @ CLE,12/29/2023,W,34,31,9,16,56.3,2,6,33.3,11,11,100,0,2,2,4,0,0,2,3,14,37.4
Caleb Houstan,ORL,ORL vs. NYK,12/29/2023,W,21,0,0,5,0.0,0,5,0.0,0,0,-,2,0,2,0,0,0,1,1,-3,1.4
Franz Wagner,ORL,ORL vs. NYK,12/29/2023,W,39,32,11,19,57.9,3,5,60.0,7,7,100,2,7,9,2,4,1,4,1,15,56.8
Immanuel Quickley,NYK,NYK @ ORL,12/29/2023,L,28,12,4,10,40.0,3,7,42.9,1,1,100,0,1,1,1,0,0,1,4,3,13.7
Cole Anthony,ORL,ORL vs. NYK,12/29/2023,W,23,9,3,8,37.5,0,3,0.0,3,4,75.0,0,2,2,5,2,0,1,2,6,23.9
Quentin Grimes,NYK,NYK @ ORL,12/29/2023,L,14,3,1,3,33.3,1,3,33.3,0,0,-,0,2,2,0,1,0,0,1,1,8.4
Chuma Okeke,ORL,ORL vs. NYK,12/29/2023,W,12,2,1,5,20.0,0,4,0.0,0,0,-,0,0,0,1,0,0,0,1,5,3.5
RJ Barrett,NYK,NYK @ ORL,12/29/2023,L,37,19,7,17,41.2,1,5,20.0,4,5,80.0,2,4,6,2,1,0,2,4,-22,30.2
Giannis Antetokounmpo,MIL,MIL @ CLE,12/29/2023,W,37,34,14,22,63.6,0,1,0.0,6,7,85.7,2,14,16,5,1,0,3,2,12,60.7
Cameron Payne,MIL,MIL @ CLE,12/29/2023,W,6,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,3,0,-9,-3.0
Pat Connaughton,MIL,MIL @ CLE,12/29/2023,W,23,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,3,0,0,1,0,6,7.7
